ID	Codón_CTG	Tamaño	Frecuencia%	Intrones
DEHA2G00110g	31	1458	2.1262%	0
DEHA2A00110g	29	1408	2.0597%	1
DEHA2G01276g	28	1408	1.9886%	0
DEHA2C00099g	26	1398	1.8598%	0
DEHA2F00110g	26	1384	1.8786%	0
DEHA2B12787g	21	1496	1.4037%	0
DEHA2C04752g	21	2984	0.7038%	0
DEHA2D06061g	21	1496	1.4037%	0
DEHA2D10604g	21	3432	0.6119%	0
DEHA2G11539g	20	1490	1.3423%	0
DEHA2C07458g	19	2662	0.7137%	0
DEHA2C11594g	19	1678	1.1323%	0
DEHA2G11297g	19	1488	1.2769%	0
DEHA2E18810g	17	1969	0.8634%	0
DEHA2G01738g	17	1630	1.0429%	0
DEHA2A09218g	16	2802	0.5710%	0
DEHA2B07854g	16	3073	0.5207%	0
DEHA2D13200g	16	596	2.6846%	0
DEHA2E18436g	16	1835	0.8719%	0
DEHA2F25872g	16	1529	1.0464%	0
DEHA2A02244g	15	1700	0.8824%	0
DEHA2B02838g	15	2130	0.7042%	0
DEHA2D03300g	15	1562	0.9603%	1
DEHA2E05984g	15	472	3.1780%	0
DEHA2E19382g	15	1282	1.1700%	0
DEHA2F02904g	15	1557	0.9634%	0
DEHA2B08800g	14	911	1.5368%	0
DEHA2C16412g	14	840	1.6667%	0
DEHA2F12452g	14	2595	0.5395%	0
DEHA2C08998g	13	1661	0.7827%	0
DEHA2E14432g	13	1187	1.0952%	0
DEHA2E18766g	13	1256	1.0350%	0
DEHA2F15466g	13	1526	0.8519%	0
DEHA2F16522g	13	4189	0.3103%	0
DEHA2F20592g	13	1043	1.2464%	0
DEHA2G01408g	13	961	1.3528%	0
DEHA2A01254g	12	1109	1.0821%	0
DEHA2C04774g	12	487	2.4641%	0
DEHA2C08778g	12	2042	0.5877%	0
DEHA2C09570g	12	842	1.4252%	0
DEHA2C17314g	12	1612	0.7444%	0
DEHA2D04466g	12	1027	1.1685%	0
DEHA2D09042g	12	1028	1.1673%	0
DEHA2E09086g	12	1952	0.6148%	0
DEHA2E12914g	12	418	2.8708%	0
DEHA2F04312g	12	1204	0.9967%	0
DEHA2F05258g	12	1776	0.6757%	0
DEHA2F09130g	12	1302	0.9217%	0
DEHA2F14806g	12	969	1.2384%	0
DEHA2F15840g	12	1742	0.6889%	0
DEHA2G03014g	12	1034	1.1605%	0
DEHA2G15994g	12	1611	0.7449%	0
DEHA2A06094g	11	982	1.1202%	0
DEHA2A08844g	11	1416	0.7768%	0
DEHA2A11088g	11	500	2.2000%	0
DEHA2A13530g	11	858	1.2821%	0
DEHA2A14124g	11	1386	0.7937%	0
DEHA2B02244g	11	1061	1.0368%	0
DEHA2B10802g	11	741	1.4845%	0
DEHA2B12540g	11	661	1.6641%	0
DEHA2B16390g	11	279	3.9427%	0
DEHA2D01958g	11	1809	0.6081%	0
DEHA2D12430g	11	3133	0.3511%	0
DEHA2D14586g	11	2326	0.4729%	0
DEHA2D16896g	11	1105	0.9955%	0
DEHA2E00704g	11	896	1.2277%	0
DEHA2E11528g	11	798	1.3784%	0
DEHA2E18480g	11	1676	0.6563%	0
DEHA2E18546g	11	1044	1.0536%	0
DEHA2F07480g	11	1188	0.9259%	0
DEHA2F24838g	11	1187	0.9267%	0
DEHA2G04686g	11	1075	1.0233%	0
DEHA2G07568g	11	1140	0.9649%	0
DEHA2G08030g	11	1048	1.0496%	0
DEHA2G08800g	11	1225	0.8980%	0
DEHA2G15576g	11	2307	0.4768%	0
DEHA2G18590g	11	1926	0.5711%	0
DEHA2G24508g	11	459	2.3965%	0
DEHA2A05390g	10	1789	0.5590%	0
DEHA2A05566g	10	1153	0.8673%	0
DEHA2A06424g	10	1628	0.6143%	0
DEHA2A12892g	10	901	1.1099%	0
DEHA2B01254g	10	886	1.1287%	0
DEHA2B04048g	10	1018	0.9823%	0
DEHA2B08822g	10	1968	0.5081%	0
DEHA2C08558g	10	1588	0.6297%	0
DEHA2C11484g	10	1231	0.8123%	0
DEHA2C16896g	10	759	1.3175%	0
DEHA2D02310g	10	1844	0.5423%	0
DEHA2D07128g	10	836	1.1962%	0
DEHA2D08756g	10	1065	0.9390%	0
DEHA2D09174g	10	1279	0.7819%	0
DEHA2D16236g	10	765	1.3072%	0
DEHA2D18150g	10	1245	0.8032%	0
DEHA2E02090g	10	806	1.2407%	0
DEHA2E02288g	10	1024	0.9766%	0
DEHA2E02816g	10	622	1.6077%	0
DEHA2F04202g	10	1072	0.9328%	0
DEHA2F04928g	10	800	1.2500%	0
DEHA2F23870g	10	1781	0.5615%	0
DEHA2F25916g	10	375	2.6667%	0
DEHA2F26246g	10	1000	1.0000%	0
DEHA2G02024g	10	1131	0.8842%	0
DEHA2G03234g	10	488	2.0492%	0
DEHA2G04334g	10	1235	0.8097%	0
DEHA2G05016g	10	1075	0.9302%	0
DEHA2G06226g	10	1607	0.6223%	0
DEHA2G11770g	10	838	1.1933%	0
DEHA2G12716g	10	1193	0.8382%	0
DEHA2G20218g	10	1157	0.8643%	0
DEHA2A07766g	9	837	1.0753%	0
DEHA2A13552g	9	712	1.2640%	0
DEHA2B03564g	9	843	1.0676%	0
DEHA2B04532g	9	722	1.2465%	0
DEHA2B06842g	9	1240	0.7258%	0
DEHA2B08250g	9	949	0.9484%	0
DEHA2B08910g	9	1481	0.6077%	0
DEHA2B12452g	9	581	1.5491%	0
DEHA2B15158g	9	1197	0.7519%	0
DEHA2C01232g	9	357	2.5210%	0
DEHA2C05060g	9	1194	0.7538%	0
DEHA2C06028g	9	945	0.9524%	0
